com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_0_4,persons,1710.2872941
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_100_plus,persons,16.0000001
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_10_14,persons,2122.3577585
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_15_19,persons,2016.7069983
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_20_24,persons,2108.9654257
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_25_29,persons,2172.4858005
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_30_34,persons,2218.5191139
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_35_39,persons,2219.1890893
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_40_44,persons,2191.4006064
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_45_49,persons,2311.285477
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_50_54,persons,3057.0825704
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_55_59,persons,3329.4342732
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_5_9,persons,2029.708074
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_60_64,persons,3223.042476
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_65_69,persons,2888.9182214
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_70_74,persons,2739.5327156
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_75_79,persons,2048.8333109
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_80_84,persons,1361.4641327
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_85_89,persons,804.1398326
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_90_94,persons,369.3412296
a7,A7,edinburgh,Edinburgh,scotland,Scotland,centre-of-mission,age-five-year,age_95_99,persons,88.5473913
a7,A7,edinburgh,Edinburgh,scotland,Scotland,diocese,age-five-year,age_0_4,persons,54379.43838
